actor_1,actor_2,movie_title,year,genre,director,page_id
אורי לוי,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
מרדכי ארנון,עמוס אבני,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
מרדכי ארנון,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
עמוס אבני,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
בתיה לנצט,שמואל אומני,אשת הגיבור,1963,דרמה,פיטר פריי,1706136
בתיה לנצט,גדעון שמר,אשת הגיבור,1963,דרמה,פיטר פריי,1706136
בתיה לנצט,ברוך קלס,אשת הגיבור,1963,דרמה,פיטר פריי,1706136
בתיה לנצט,לילי קלס,אשת הגיבור,1963,דרמה,פיטר פריי,1706136
בתיה לנצט,איתן עברי,אשת הגיבור,1963,דרמה,פיטר פריי,1706136
בתיה לנצט,עפרה שיין,אשת הגיבור,1963,דרמה,פיטר פריי,1706136
